nodeID,xcoord,ycoord,floor,building,nodeType,longName,shortName,teamAssigned,xcoord3d,ycoord3d
FHALL2460G,4295.0,735.0,0G,New Building,HALL,,,Team F,6525.0,1225.0
FHALL2470G,4370.0,708.0,0G,New Building,HALL,,,Team F,6604.0,1235.0
FHALL2480G,4363.0,689.0,0G,New Building,HALL,,,Team F,6607.0,1215.0
FHALL2490G,4418.0,672.0,0G,New Building,HALL,,,Team F,6663.0,1225.0
FHALL2500G,4431.0,701.0,0G,New Building,HALL,,,Team F,6662.0,1256.0
FHALL2510G,4498.0,678.0,0G,New Building,HALL,,,Team F,6732.0,1266.0
FHALL2520G,4559.0,654.0,0G,New Building,HALL,,,Team F,6797.0,1273.0
FHALL2530G,4578.0,706.0,0G,New Building,HALL,,,Team F,6791.0,1328.0
FHALL2540G,4601.0,782.0,0G,New Building,HALL,,,Team F,6777.0,1406.0
FHALL2550G,4621.0,851.0,0G,New Building,HALL,,,Team F,6763.0,1476.0
FHALL2560G,4643.0,910.0,0G,New Building,HALL,,,Team F,6756.0,1539.0
FHALL2570G,4661.0,961.0,0G,New Building,HALL,,,Team F,6749.0,1592.0
FHALL2580G,4697.0,1070.0,0G,New Building,HALL,,,Team F,6732.0,1706.0
FHALL2590G,4731.0,1110.0,0G,New Building,HALL,,,Team F,6744.0,1757.0
FHALL2600G,4755.0,1125.0,0G,New Building,HALL,,,Team F,6759.0,1781.0
